Time,ID,AccX,AccY,AccZ,Behaviour
15:01:52,M1,-0.027832,0.0617676,-0.977783,Feed
15:01:52,M1,-0.027832,0.0739746,-1.0376,Feed
15:01:52,M1,-0.00390625,0.0979004,-1.01367,Feed
15:01:52,M1,0.0437012,0.0979004,-0.989746,Feed
15:01:52,M1,0.0795898,0.0859375,-1.00171,Feed
15:01:52,M1,0.0437012,0.0739746,-0.989746,Feed
15:01:52,M1,0.0317383,0.0378418,-0.989746,Feed
15:01:52,M1,0.0197754,0.0617676,-0.977783,Feed
15:01:52,M1,0.067627,0.0498047,-0.94165,Feed
15:01:52,M1,0.0795898,0.0617676,-0.953613,Feed
15:01:52,M1,0.10376,0.0498047,-0.953613,Feed
15:01:52,M1,0.0197754,0.0739746,-0.965576,Feed
15:01:52,M1,0.0197754,0.0859375,-0.965576,Feed
15:01:52,M1,0.0317383,0.0739746,-0.917725,Feed
15:01:52,M1,0.067627,0.0498047,-0.929688,Feed
15:01:52,M1,0.0317383,0.0378418,-0.989746,Feed
15:01:52,M1,0.0197754,0.0859375,-1.00171,Feed
15:01:52,M1,0.0078125,0.0617676,-0.989746,Feed
15:01:52,M1,-0.0158691,0.0498047,-0.965576,Feed
15:01:52,M1,-0.0158691,0.0617676,-1.00171,Feed
15:01:52,M1,0.0197754,0.0739746,-1.00171,Feed
15:01:52,M1,0.0197754,0.0498047,-0.977783,Feed
15:01:52,M1,0.0556641,0.0739746,-1.01367,Feed
15:01:52,M1,0.0197754,0.0739746,-0.965576,Feed
15:01:52,M1,-0.0158691,0.0617676,-0.977783,Feed
15:01:52,M1,-0.027832,0.0739746,-0.965576,Feed
15:01:52,M1,-0.00390625,0.0859375,-0.965576,Feed
15:01:52,M1,-0.0158691,0.0739746,-0.965576,Feed
15:01:52,M1,-0.0397949,0.0617676,-0.977783,Feed
15:01:52,M1,-0.0517578,0.0617676,-0.965576,Feed
15:01:52,M1,-0.0639648,0.0739746,-0.977783,Feed
15:01:53,M1,-0.0158691,0.0617676,-0.965576,Feed
15:01:53,M1,-0.0158691,0.0617676,-0.977783,Feed
15:01:53,M1,-0.0397949,0.0498047,-0.989746,Feed
15:01:53,M1,-0.0158691,0.0498047,-0.965576,Feed
15:01:53,M1,-0.0158691,0.0739746,-0.953613,Feed
15:01:53,M1,-0.0639648,0.0498047,-0.965576,Feed
15:01:53,M1,-0.0878906,0.0859375,-0.977783,Feed
15:01:53,M1,-0.0397949,0.109863,-0.977783,Feed
15:01:53,M1,0.0197754,0.0979004,-0.977783,Feed
15:01:53,M1,-0.0517578,0.0739746,-0.965576,Feed
15:01:53,M1,-0.0639648,0.0617676,-0.965576,Feed
15:01:53,M1,-0.0759277,0.0378418,-0.989746,Feed
15:01:53,M1,-0.0759277,0.0498047,-0.989746,Feed
15:01:53,M1,-0.0759277,0.0859375,-0.965576,Feed
15:01:53,M1,-0.0639648,0.0739746,-0.965576,Feed
15:01:53,M1,-0.0517578,0.0859375,-0.94165,Feed
15:01:53,M1,-0.0397949,0.0859375,-0.953613,Feed
15:01:53,M1,-0.0158691,0.0859375,-0.965576,Feed
15:01:53,M1,-0.00390625,0.0859375,-0.977783,Feed
15:01:53,M1,-0.0397949,0.0739746,-0.989746,Feed
15:01:53,M1,-0.0517578,0.0859375,-0.989746,Feed
15:01:53,M1,-0.0517578,0.0739746,-0.989746,Feed
15:01:53,M1,-0.0639648,0.0739746,-1.00171,Feed
15:01:53,M1,-0.0878906,0.0859375,-0.965576,Feed
15:01:53,M1,0.0078125,0.0617676,-0.917725,Feed
15:01:53,M1,0.0317383,0.0739746,-0.953613,Feed
15:01:53,M1,0.0556641,0.0739746,-0.965576,Feed
15:01:53,M1,0.0197754,0.0979004,-0.977783,Feed
15:01:53,M1,0.0078125,0.0979004,-0.94165,Feed
15:01:53,M1,-0.0158691,0.0859375,-0.929688,Feed
15:01:53,M1,-0.027832,0.0739746,-0.869629,Feed
15:01:53,M1,-0.027832,0.0378418,-0.929688,Feed
15:01:53,M1,0.0078125,0.0378418,-0.965576,Feed
15:01:53,M1,0.0317383,0.0617676,-0.977783,Feed
15:01:53,M1,0.0556641,0.0859375,-0.965576,Feed
15:01:53,M1,0.0317383,0.0859375,-0.977783,Feed
15:01:53,M1,0.0556641,0.0859375,-0.989746,Feed
15:01:53,M1,0.0915527,0.0859375,-0.989746,Feed
15:01:53,M1,0.0915527,0.0739746,-0.94165,Feed
15:01:53,M1,0.0078125,0.0859375,-0.965576,Feed
15:01:54,M1,-0.00390625,0.0739746,-1.00171,Feed
15:01:54,M1,0.0317383,0.0859375,-0.965576,Feed
15:01:54,M1,0.0915527,0.0859375,-0.94165,Feed
15:01:54,M1,0.0915527,0.0498047,-0.953613,Feed
15:01:54,M1,0.0915527,0.0378418,-0.965576,Feed
15:01:54,M1,0.0795898,0.0617676,-0.94165,Feed
15:01:54,M1,0.0556641,0.0739746,-0.953613,Feed
15:01:54,M1,0.0437012,0.0859375,-0.94165,Feed
15:01:54,M1,-0.00390625,0.0859375,-0.989746,Feed
15:01:54,M1,-0.0397949,0.0859375,-0.977783,Feed
15:01:54,M1,0.0197754,0.0859375,-0.977783,Feed
15:01:54,M1,0.0795898,0.0859375,-0.977783,Feed
15:01:54,M1,0.10376,0.0859375,-0.965576,Feed
15:01:54,M1,0.115723,0.0979004,-0.953613,Feed
15:01:54,M1,0.067627,0.0979004,-0.94165,Feed
15:01:54,M1,0.0437012,0.0617676,-0.965576,Feed
15:01:54,M1,0.0317383,0.0739746,-0.977783,Feed
15:01:54,M1,0.0317383,0.0859375,-0.953613,Feed
15:01:54,M1,0.0317383,0.0859375,-0.965576,Feed
15:01:54,M1,0.0078125,0.0859375,-0.953613,Feed
15:01:54,M1,0.0556641,0.0739746,-0.953613,Feed
15:01:54,M1,0.0795898,0.0739746,-0.953613,Feed
15:01:54,M1,0.067627,0.0258789,-0.953613,Feed
15:01:54,M1,0.0078125,0.0739746,-1.02563,Feed
15:01:54,M1,0.067627,0.0859375,-0.94165,Feed
15:01:54,M1,0.0915527,0.0739746,-0.929688,Feed
15:01:54,M1,0.067627,0.0498047,-0.977783,Feed
15:01:54,M1,0.0197754,0.0617676,-0.977783,Feed
15:01:54,M1,-0.027832,0.0498047,-0.977783,Feed
15:01:54,M1,-0.0517578,0.0859375,-0.977783,Feed
15:01:54,M1,-0.00390625,0.0617676,-0.989746,Feed
15:01:54,M1,0.0078125,0.0258789,-0.953613,Feed
15:01:54,M1,0.0437012,0.0378418,-0.965576,Feed
15:01:54,M1,0.0197754,0.0378418,-0.965576,Feed
15:01:54,M1,-0.0158691,0.0617676,-0.977783,Feed
15:01:54,M1,-0.027832,0.0739746,-0.989746,Feed
15:01:54,M1,-0.00390625,0.0617676,-0.965576,Feed
15:01:54,M1,-0.00390625,0.00195312,-0.953613,Feed
15:01:54,M1,-0.027832,0.013916,-0.989746,Feed
15:01:54,M1,-0.0158691,0.0378418,-0.977783,Feed
15:01:55,M1,0.0317383,0.0498047,-0.977783,Feed
15:01:55,M1,0.0078125,0.013916,-0.965576,Feed
15:01:55,M1,-0.00390625,0.0378418,-0.977783,Feed
15:01:55,M1,-0.00390625,0.0498047,-0.953613,Feed
15:01:55,M1,0.0078125,0.0258789,-0.94165,Feed
15:01:55,M1,-0.0158691,0.0258789,-0.977783,Feed
15:01:55,M1,-0.027832,-0.0217285,-0.965576,Feed
15:01:55,M1,-0.0397949,-0.00976562,-0.989746,Feed
15:01:55,M1,-0.0397949,0.013916,-1.01367,Feed
15:01:55,M1,-0.00390625,0.0378418,-1.00171,Feed
15:01:55,M1,0.0317383,0.0258789,-0.94165,Feed
15:01:55,M1,0.0078125,-0.00976562,-0.965576,Feed
15:01:55,M1,-0.0397949,-0.00976562,-0.953613,Feed
15:01:55,M1,-0.0517578,-0.00976562,-0.977783,Feed
15:01:55,M1,-0.0517578,-0.0217285,-0.977783,Feed
15:01:55,M1,-0.0639648,0.0258789,-0.977783,Feed
15:01:55,M1,-0.0759277,0.013916,-0.977783,Feed
15:01:55,M1,-0.0517578,0.00195312,-0.965576,Feed
15:01:55,M1,-0.0639648,-0.00976562,-0.965576,Feed
15:01:55,M1,-0.0517578,-0.0456543,-0.965576,Feed
15:01:55,M1,-0.0998535,-0.0456543,-0.977783,Feed
15:01:55,M1,-0.0878906,-0.0576172,-0.977783,Feed
15:01:55,M1,-0.0639648,-0.0695801,-1.00171,Feed
15:01:55,M1,0.0317383,-0.0336914,-0.977783,Feed
15:01:55,M1,0.0197754,-0.0217285,-0.989746,Feed
15:01:55,M1,-0.027832,-0.00976562,-0.989746,Feed
15:01:55,M1,-0.0517578,0.00195312,-0.977783,Feed
15:01:55,M1,-0.027832,0.00195312,-0.989746,Feed
15:01:55,M1,-0.0397949,-0.0336914,-0.977783,Feed
15:01:55,M1,-0.0397949,-0.0336914,-0.977783,Feed
15:01:55,M1,-0.0397949,-0.081543,-0.965576,Feed
15:01:55,M1,-0.0759277,-0.0456543,-0.917725,Feed
15:01:55,M1,-0.0759277,-0.0456543,-0.94165,Feed
15:01:55,M1,-0.0639648,-0.0336914,-0.953613,Feed
15:01:55,M1,-0.0517578,-0.0456543,-0.94165,Feed
15:01:55,M1,-0.0639648,-0.0695801,-0.94165,Feed
15:01:55,M1,-0.0639648,-0.0695801,-0.977783,Feed
15:01:55,M1,-0.0158691,-0.0576172,-0.94165,Feed
15:01:55,M1,-0.0397949,-0.081543,-0.989746,Feed
15:01:55,M1,-0.0397949,-0.081543,-0.989746,Feed
15:01:56,M1,-0.0517578,-0.081543,-0.977783,Feed
15:01:56,M1,-0.0759277,-0.0695801,-0.977783,Feed
15:01:56,M1,-0.0639648,-0.0695801,-0.977783,Feed
15:01:56,M1,-0.0639648,-0.0695801,-0.953613,Feed
15:01:56,M1,-0.0517578,-0.0576172,-0.94165,Feed
15:01:56,M1,-0.0517578,-0.0456543,-0.953613,Feed
15:01:56,M1,-0.0639648,-0.0336914,-0.929688,Feed
15:01:56,M1,-0.0639648,-0.0456543,-0.929688,Feed
15:01:56,M1,-0.0639648,-0.0336914,-0.953613,Feed
15:01:56,M1,-0.0517578,-0.0217285,-0.953613,Feed
15:01:56,M1,-0.0639648,-0.00976562,-0.965576,Feed
15:01:56,M1,-0.027832,-0.0576172,-0.977783,Feed
15:01:56,M1,-0.0639648,-0.0456543,-0.977783,Feed
15:01:56,M1,-0.0759277,0.013916,-1.00171,Feed
15:01:56,M1,-0.0517578,0.0378418,-0.977783,Feed
15:01:56,M1,0.0078125,0.0258789,-0.929688,Feed
15:01:56,M1,-0.0397949,-0.00976562,-0.953613,Feed
15:01:56,M1,-0.0517578,-0.0336914,-0.965576,Feed
15:01:56,M1,-0.0759277,0.013916,-0.977783,Feed
15:01:56,M1,-0.0759277,0.0378418,-0.929688,Feed
15:01:56,M1,-0.111816,0.013916,-0.953613,Feed
15:01:56,M1,-0.135742,0.0378418,-0.965576,Feed
15:01:56,M1,-0.111816,0.0378418,-0.989746,Feed
15:01:56,M1,-0.0759277,0.0258789,-1.01367,Feed
15:01:56,M1,-0.00390625,0.013916,-0.989746,Feed
15:01:56,M1,-0.0397949,0.0378418,-0.977783,Feed
15:01:56,M1,-0.0878906,0.0617676,-0.965576,Feed
15:01:56,M1,-0.123779,0.0739746,-1.00171,Feed
15:01:56,M1,-0.0998535,0.0859375,-0.965576,Feed
15:01:56,M1,-0.0878906,0.0739746,-0.929688,Feed
15:01:56,M1,-0.0878906,0.0739746,-0.953613,Feed
15:01:56,M1,-0.0759277,0.0859375,-0.929688,Feed
15:01:56,M1,-0.0759277,0.0859375,-0.953613,Feed
15:01:56,M1,-0.0878906,0.0859375,-0.965576,Feed
15:01:56,M1,-0.0878906,0.0739746,-1.01367,Feed
15:01:56,M1,-0.123779,0.0739746,-1.01367,Feed
15:01:56,M1,-0.0998535,0.0859375,-0.929688,Feed
15:01:56,M1,-0.0759277,0.0859375,-0.94165,Feed
15:01:56,M1,-0.0759277,0.0617676,-0.965576,Feed
15:01:57,M1,-0.135742,0.0498047,-0.965576,Feed
15:01:57,M1,-0.135742,0.0617676,-1.00171,Feed
15:01:57,M1,-0.0878906,0.0859375,-1.01367,Feed
15:01:57,M1,-0.0759277,0.0859375,-0.965576,Feed
15:01:57,M1,-0.123779,0.0859375,-1.00171,Feed
15:01:57,M1,-0.123779,0.0979004,-0.94165,Feed
15:01:57,M1,-0.135742,0.0859375,-0.953613,Feed
15:01:57,M1,-0.147949,0.0859375,-0.965576,Feed
15:01:57,M1,-0.123779,0.0859375,-0.977783,Feed
15:01:57,M1,-0.0998535,0.0859375,-0.953613,Feed
15:01:57,M1,-0.0878906,0.0859375,-0.965576,Feed
15:01:57,M1,-0.135742,0.0859375,-0.989746,Feed
15:01:57,M1,-0.135742,0.109863,-0.977783,Feed
15:01:57,M1,-0.123779,0.0498047,-0.965576,Feed
15:01:57,M1,-0.111816,-0.00976562,-0.977783,Feed
15:01:57,M1,-0.135742,0.013916,-0.989746,Feed
15:01:57,M1,-0.147949,0.0498047,-0.977783,Feed
15:01:57,M1,-0.159912,0.0498047,-0.953613,Feed
15:01:57,M1,-0.123779,0.0617676,-0.965576,Feed
15:01:57,M1,-0.0878906,0.0498047,-0.977783,Feed
15:01:57,M1,-0.0878906,0.0498047,-0.977783,Feed
15:01:57,M1,-0.0998535,0.0617676,-0.953613,Feed
15:01:57,M1,-0.159912,0.0378418,-0.953613,Feed
15:01:57,M1,-0.147949,0.0498047,-0.989746,Feed
15:01:57,M1,-0.123779,0.0498047,-1.04956,Feed
15:01:57,M1,-0.0998535,0.0258789,-0.965576,Feed
15:01:57,M1,-0.147949,0.00195312,-1.00171,Feed
15:01:57,M1,-0.123779,0.013916,-1.00171,Feed
15:01:57,M1,-0.111816,0.0258789,-0.977783,Feed
15:01:57,M1,-0.123779,0.00195312,-0.953613,Feed
15:01:57,M1,-0.135742,-0.00976562,-0.965576,Feed
15:01:57,M1,-0.135742,-0.0217285,-0.977783,Feed
15:01:57,M1,-0.111816,-0.0336914,-0.94165,Feed
15:01:57,M1,-0.123779,-0.0576172,-0.905762,Feed
15:01:57,M1,-0.135742,-0.0695801,-0.881592,Feed
15:01:57,M1,-0.111816,-0.0456543,-0.893555,Feed
15:01:57,M1,-0.0998535,-0.0217285,-0.94165,Feed
15:01:57,M1,-0.135742,-0.0336914,-0.989746,Feed
15:01:57,M1,-0.0998535,-0.081543,-0.929688,Feed
15:01:57,M1,-0.111816,-0.09375,-0.953613,Feed
15:01:58,M1,-0.147949,-0.09375,-0.989746,Feed
15:01:58,M1,-0.111816,-0.0456543,-0.989746,Feed
15:01:58,M1,-0.111816,-0.0456543,-1.00171,Feed
15:01:58,M1,-0.123779,-0.0695801,-0.989746,Feed
15:01:58,M1,-0.123779,-0.0576172,-0.965576,Feed
15:01:58,M1,-0.123779,-0.0456543,-0.94165,Feed
15:01:58,M1,-0.135742,-0.0576172,-0.965576,Feed
15:01:58,M1,-0.0998535,-0.0695801,-0.965576,Feed
15:01:58,M1,-0.0878906,-0.081543,-0.977783,Feed
15:01:58,M1,-0.0878906,-0.0576172,-0.977783,Feed
15:01:58,M1,-0.0998535,-0.0336914,-1.00171,Feed
15:01:58,M1,-0.0998535,-0.0576172,-0.977783,Feed
15:01:58,M1,-0.0998535,-0.0456543,-1.01367,Feed
15:01:58,M1,-0.123779,-0.0576172,-1.04956,Feed
15:01:58,M1,-0.111816,-0.0217285,-0.989746,Feed
15:01:58,M1,-0.0878906,0.013916,-0.989746,Feed
15:01:58,M1,-0.0759277,-0.0217285,-0.977783,Feed
15:01:58,M1,-0.0878906,-0.0217285,-0.94165,Feed
15:01:58,M1,-0.0998535,-0.0456543,-0.917725,Feed
15:01:58,M1,-0.0878906,-0.0576172,-0.977783,Feed
15:01:58,M1,-0.111816,-0.0456543,-0.977783,Feed
15:01:58,M1,-0.0998535,-0.0576172,-0.965576,Feed
15:01:58,M1,-0.135742,-0.0576172,-0.965576,Feed
15:01:58,M1,-0.111816,-0.0336914,-0.953613,Feed
15:01:58,M1,-0.0998535,-0.0456543,-0.965576,Feed
15:01:58,M1,-0.0998535,-0.0217285,-0.977783,Feed
15:01:58,M1,-0.0878906,-0.0576172,-0.989746,Feed
15:01:58,M1,-0.0639648,-0.0456543,-0.94165,Feed
15:01:58,M1,-0.0639648,-0.0217285,-0.989746,Feed
15:01:58,M1,-0.0639648,-0.0695801,-1.02563,Feed
